estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
0,5,8,"(10001,)","(8,)",1251,8.721746682617734,6.622752945395496,Compute
1,5,8,"(10001,)","(16,)",1251,8.721746682617734,6.622752945395496,Compute
2,5,8,"(10001,)","(32,)",1251,8.721746682617734,6.622752945395496,Compute
3,5,8,"(10001,)","(64,)",1251,8.721746682617734,6.622752945395496,Compute
4,5,8,"(10001,)","(128,)",1251,8.721746682617734,6.622752945395496,Compute
5,5,8,"(10001,)","(256,)",1251,8.721746682617734,6.622752945395496,Compute
6,5,16,"(10001,)","(8,)",1251,13.114629232544559,4.4043924160632,Compute
7,5,16,"(10001,)","(16,)",626,9.951201756835767,5.804522402695899,Compute
8,5,16,"(10001,)","(32,)",626,9.951201756835767,5.804522402695899,Compute
9,5,16,"(10001,)","(64,)",626,9.951201756835767,5.804522402695899,Compute
10,5,16,"(10001,)","(128,)",626,9.951201756835767,5.804522402695899,Compute
11,5,16,"(10001,)","(256,)",626,9.951201756835767,5.804522402695899,Compute
12,5,32,"(10001,)","(8,)",1251,21.900394332398207,2.637485547273923,Compute
13,5,32,"(10001,)","(16,)",626,15.808378490071535,3.653883512947103,Compute
14,5,32,"(10001,)","(32,)",313,8.025757538378794,7.1970743266395685,Compute
15,5,32,"(10001,)","(64,)",313,8.025757538378794,7.1970743266395685,Compute
16,5,32,"(10001,)","(128,)",313,8.025757538378794,7.1970743266395685,Compute
17,5,32,"(10001,)","(256,)",313,8.025757538378794,7.1970743266395685,Compute
18,5,8,"(10001,)","(8,)",1251,8.721746682617734,6.622752945395496,Compute
19,5,8,"(10001,)","(16,)",1251,8.721746682617734,6.622752945395496,Compute
20,5,8,"(10001,)","(32,)",1251,8.721746682617734,6.622752945395496,Compute
21,5,8,"(10001,)","(64,)",1251,8.721746682617734,6.622752945395496,Compute
22,5,8,"(10001,)","(128,)",1251,8.721746682617734,6.622752945395496,Compute
23,5,8,"(10001,)","(256,)",1251,8.721746682617734,6.622752945395496,Compute
24,5,16,"(10001,)","(8,)",1251,13.114629232544559,4.4043924160632,Compute
25,5,16,"(10001,)","(16,)",626,9.951201756835767,5.804522402695899,Compute
26,5,16,"(10001,)","(32,)",626,9.951201756835767,5.804522402695899,Compute
27,5,16,"(10001,)","(64,)",626,9.951201756835767,5.804522402695899,Compute
28,5,16,"(10001,)","(128,)",626,9.951201756835767,5.804522402695899,Compute
29,5,16,"(10001,)","(256,)",626,9.951201756835767,5.804522402695899,Compute
30,5,32,"(10001,)","(8,)",1251,21.900394332398207,2.637485547273923,Compute
31,5,32,"(10001,)","(16,)",626,15.808378490071535,3.653883512947103,Compute
32,5,32,"(10001,)","(32,)",313,8.025757538378794,7.1970743266395685,Compute
33,5,32,"(10001,)","(64,)",313,8.025757538378794,7.1970743266395685,Compute
34,5,32,"(10001,)","(128,)",313,8.025757538378794,7.1970743266395685,Compute
35,5,32,"(10001,)","(256,)",313,8.025757538378794,7.1970743266395685,Compute
36,323,8,"(200,)","(8,)",25,20.958228746327276,2.2957854577205987,Trip_Count
37,323,8,"(200, 300)","(1, 8)",7600,7.747007701024241,6.210862133135424,Compute
38,323,8,"(200,)","(16,)",25,20.958228746327276,2.2957854577205987,Trip_Count
39,323,8,"(200, 300)","(1, 16)",7600,7.747007701024241,6.210862133135424,Compute
40,323,8,"(200,)","(32,)",25,20.958228746327276,2.2957854577205987,Trip_Count
41,323,8,"(200, 300)","(1, 32)",7600,7.747007701024241,6.210862133135424,Compute
42,323,8,"(200,)","(64,)",25,20.958228746327276,2.2957854577205987,Trip_Count
43,323,8,"(200, 300)","(1, 64)",7600,7.747007701024241,6.210862133135424,Compute
44,323,8,"(200,)","(128,)",25,30.14720506450909,1.5960218093996463,Trip_Count
45,323,8,"(200, 300)","(1, 128)",7600,7.747007701024241,6.210862133135424,Compute
46,323,8,"(200,)","(256,)",25,48.52515770087273,0.9915598228861524,Trip_Count
47,323,8,"(200, 300)","(1, 256)",7600,7.747007701024241,6.210862133135424,Compute
48,323,8,"(200, 300)","(2, 4)",7500,7.752753155569696,6.206259351986849,Compute
49,323,8,"(200, 300)","(2, 8)",7500,7.752753155569696,6.206259351986849,Compute
50,323,8,"(200, 300)","(2, 16)",7500,7.752753155569696,6.206259351986849,Compute
51,323,8,"(200, 300)","(2, 32)",7500,7.752753155569696,6.206259351986849,Compute
52,323,8,"(200, 300)","(2, 64)",7500,7.752753155569696,6.206259351986849,Compute
53,323,8,"(200, 300)","(2, 128)",7500,7.752753155569696,6.206259351986849,Compute
54,323,8,"(200, 300)","(4, 2)",7500,7.752753155569696,6.206259351986849,Compute
55,323,8,"(200, 300)","(4, 4)",7500,7.752753155569696,6.206259351986849,Compute
56,323,8,"(200, 300)","(4, 8)",7500,7.752753155569696,6.206259351986849,Compute
57,323,8,"(200, 300)","(4, 16)",7500,7.752753155569696,6.206259351986849,Compute
58,323,8,"(200, 300)","(4, 32)",7500,7.752753155569696,6.206259351986849,Compute
59,323,8,"(200, 300)","(4, 64)",7500,7.994116299963634,6.018876254729852,Compute
60,323,8,"(200, 300)","(8, 1)",7500,7.752753155569696,6.206259351986849,Compute
61,323,8,"(200, 300)","(8, 2)",7500,7.752753155569696,6.206259351986849,Compute
62,323,8,"(200, 300)","(8, 4)",7500,7.752753155569696,6.206259351986849,Compute
63,323,8,"(200, 300)","(8, 8)",7500,7.752753155569696,6.206259351986849,Compute
64,323,8,"(200, 300)","(8, 16)",7500,7.752753155569696,6.206259351986849,Compute
65,323,8,"(200, 300)","(8, 32)",7500,7.752753155569696,6.206259351986849,Compute
66,323,8,"(200, 300)","(16, 1)",7500,7.752753155569696,6.206259351986849,Compute
67,323,8,"(200, 300)","(16, 2)",7500,7.752753155569696,6.206259351986849,Compute
68,323,8,"(200, 300)","(16, 4)",7500,7.752753155569696,6.206259351986849,Compute
69,323,8,"(200, 300)","(16, 8)",7500,7.752753155569696,6.206259351986849,Compute
70,323,8,"(200, 300)","(16, 16)",7500,7.752753155569696,6.206259351986849,Compute
71,323,8,"(200, 300)","(32, 1)",7500,7.752753155569696,6.206259351986849,Compute
72,323,8,"(200, 300)","(32, 2)",7500,7.752753155569696,6.206259351986849,Compute
73,323,8,"(200, 300)","(32, 4)",7500,7.752753155569696,6.206259351986849,Compute
74,323,8,"(200, 300)","(32, 8)",7500,7.752753155569696,6.206259351986849,Compute
75,323,8,"(200, 300)","(64, 1)",7500,7.752753155569696,6.206259351986849,Compute
76,323,8,"(200, 300)","(64, 2)",7500,7.752753155569696,6.206259351986849,Compute
