estimation_id,index,parent_index,baseline_device_type,baseline_device_idx,cli_loop_id,source_location,offload_index,offload_head,location,module,node_type,offload_elapsed_time_for_summary,offload_elapsed_time,total_time_in_hierarchy,total_time_in_hierarchy_percent,app_time,total_time_per_largest_thread,self_time_per_largest_thread,self_time,self_elapsed_time,dependency_type,baseline_global_size,baseline_local_size,exe_target,why_not_offloaded,offload_device_type,offload_device_idx,offload_head_type,speed_up,offload_bounded_by,max_speed_up,offloaded_rank,non_offloaded_rank,total_est_time_accel_seconds,total_est_time_accel,total_est_time_accel_percent,total_time_on_accel,total_est_time_no_taxes,time_by_compute,time_by_dram_bw,time_by_gti_bw,time_by_llc_bw,time_by_l3_bw,time_by_global_atomic,sum_latencies,memory_latencies,atomic_latencies,non_accel_time,does_fit,is_offloaded,is_offload_candidate,total_time_in_mpi,measured_total_time_in_mpi,total_time_in_ignored,measured_total_time_in_ignored,node_position,offload_head_loc,frac_offloaded,offload_tax,data_tax,data_tax_no_reuse,data_reuse_gain,data_reuse_gain_relative,launch_tax,invoke_tax,config_tax,transfer_tax,proxy_tax,proxy_region_time,global_size,global_work_items_count,global_work_size,local_size,local_work_items_count,local_work_size,work_dim,collapsed_with_head,simd_width,global_size_error,parallel_factor,parallel_threads,parallel_threads_per_eu,unroll_factor,est_instance_count,eu_active,eu_stalled,eu_idle,thread_occupancy,data_transferred_total,data_transferred_in_total,data_transferred_out_total,data_transferred_shared,data_transferred_in,data_transferred_out,data_transferred_inout,data_transferred_private,memory_objects_info,data_transferred_total_no_reuse,data_transferred_in_total_no_reuse,data_transferred_out_total_no_reuse,average_trip_count,call_count,trip_count_total,l3_bytes,l3_read_bytes,l3_write_bytes,l3_bytes_ck,l3_read_bytes_ck,l3_write_bytes_ck,l3_total_bw,l3_read_bw,l3_write_bw,l3_total_bw_util,l3_read_bw_util,l3_write_bw_util,l3_read_time,l3_write_time,gti_bytes,gti_read_bytes,gti_write_bytes,gti_bytes_ck,gti_read_bytes_ck,gti_write_bytes_ck,gti_total_bw,gti_read_bw,gti_write_bw,gti_total_bw_util,gti_read_bw_util,gti_write_bw_util,gti_read_time,gti_write_time,llc_bytes,llc_read_bytes,llc_write_bytes,llc_bytes_ck,llc_read_bytes_ck,llc_write_bytes_ck,llc_total_bw,llc_read_bw,llc_write_bw,llc_total_bw_util,llc_read_bw_util,llc_write_bw_util,llc_read_time,llc_write_time,dram_bytes,dram_write_bytes,dram_read_bytes,dram_bytes_ck,dram_write_bytes_ck,dram_read_bytes_ck,dram_total_bw,dram_read_bw,dram_write_bw,dram_total_bw_util,dram_read_bw_util,dram_write_bw_util,dram_read_time,dram_write_time,atomic_accesses,atomic_hw_writes_per_send,atomic_repetitions,atomic_throughput_per_sc,atomic_throughput_per_ck,self_gflop,self_gintop,self_memory_gb,self_l2_gb,self_l3_gb,self_l4_gb,self_dram_gb,self_int_compute,self_sp_compute,self_dp_compute,self_int_compute_with_memory,self_sp_compute_with_memory,self_dp_compute_with_memory,self_memory,thread_count,fpu_util,flop_per_cycle,bytes_per_iter,bytes_rd_per_iter,bytes_wr_per_iter,float_ops_per_iter,compute,compute_with_memory,vector_compute,vector_compute_with_memory,compute_others_per_iter,noncompute_others_per_iter,ABS_per_iter,Add_per_iter,DIV_per_iter,FMA_per_iter,MAX_per_iter,MIN_per_iter,Mul_per_iter,RECCP_per_iter,SAD_per_iter,SCALE_per_iter,SIGN_per_iter,SQRT_per_iter,Sub_per_iter,Mov_per_iter,Send_per_iter,ABS_impact,Add_impact,DIV_impact,FMA_impact,MAX_impact,MIN_impact,Mul_impact,RECCP_impact,SAD_impact,SCALE_impact,SIGN_impact,SQRT_impact,Sub_impact,Mov_impact,Send_impact,ABS_count,Add_count,DIV_count,FMA_count,MAX_count,MIN_count,Mul_count,RECCP_count,SAD_count,SCALE_count,SIGN_count,SQRT_count,Sub_count,Mov_count,Send_count,float32_ops,float32_op,float32_ai,float64_ops,float64_op,float64_ai,int32_ops,int32_op,int32_ai,int64_ops,int64_op,int64_ai,diagnostics,system_module,module_type,no_execution_count,internal_error,measured_offload_elapsed_time,measured_total_time_in_hierarchy,measured_app_time
,2,18446744073709551611,1,0,,,,_start,_start,boltzmann-optimized,,57.849923990600004,57.849923990600004,57.849923990600004,100.0,57.849923990600004,57.849923990600004,0.0,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.849923990600004,57.849923990600004,57.849923990600004
,609,2,1,0,,libc-start.c:234,,__libc_start_main_impl,__libc_start_main_impl at libc-start.c:234,libc.so.6,,57.849923990600004,57.849923990600004,57.849923990600004,100.0,57.849923990600004,57.849923990600004,0.0,0.0,0.0,,,,X86,Cannot be modelled: Not User Code,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.849923990600004,57.849923990600004,57.849923990600004
,320,609,1,0,,,,main,main,boltzmann-optimized,,57.849923990600004,57.849923990600004,57.849923990600004,100.0,57.849923990600004,57.849923990600004,0.0,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.1e-08,5.32e-07,9.6e-07,0.0,0.0,0.0,7,0,0,2,0,0,92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.849923990600004,57.849923990600004,57.849923990600004
,604,320,1,0,,,,write_values,write_values,boltzmann-optimized,,0.08795045929999999,0.08795045929999999,0.08795045929999999,0.15203210865807015,57.849923990600004,0.08795045929999999,0.0,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6e-09,1.12e-07,1.28e-07,0.0,0.0,0.0,1,0,0,0,0,0,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08795045929999999,0.08795045929999999,57.849923990600004
,315,604,1,0,10,,,[loop in write_values],[loop in write_values],boltzmann-optimized,,0.0080062579,0.0080062579,0.0080062579,0.013839703404452062,57.849923990600004,0.0080062579,0.0,0.0,0.0,Parallel: Explicit,,,X86,"Total time is too small for
                reliable modelling. Use --loop-filter-threshold=0 to model such
                small offloads.",,,2,,,,,0.8000691985170223,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,Head Node,[loop in write_values],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001.0,1.0,10001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0001e-05,0.000480008,8e-05,7.7824e-05,0.0,4.8469e-05,10000,0,0,10000,0,0,100001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0080062579,0.0080062579,57.849923990600004
,316,315,1,0,,fprintf.c:26,,__fprintf,__fprintf at fprintf.c:26,libc.so.6,,0.0080062579,0.0080062579,0.0080062579,0.013839703404452062,57.849923990600004,0.0080062579,0.0080062579,0.0080062579,0.0080062579,,,,X86,Cannot be modelled: Not User Code,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,Child,[loop in write_values],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,10001.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0080062579,0.0080062579,57.849923990600004
,611,604,1,0,,iofopen.c:84,,_IO_new_fopen,_IO_new_fopen at iofopen.c:84,libc.so.6,,0.0087887156,0.0087887156,0.0087887156,0.015192268189372336,57.849923990600004,0.0087887156,0.0087887156,0.0087887156,0.0087887156,,,,X86,Cannot be modelled: Not User Code,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0087887156,0.0087887156,57.849923990600004
955,605,604,1,0,9,,942,[loop in write_values],[loop in write_values],boltzmann-optimized,,0.0711554858,0.0711554858,0.0711554858,0.12300013706424577,57.849923990600004,0.0711554858,0.0,0.0,0.0,Parallel: Assumed,,,X86,Not profitable: Compute Time is high despite the full use of Target Device capabilities,,,2,0.9989081680166167,Compute,0.9989081680166167,,0.8006150006853213,0.07123326055215151,0.07123326055215151,0.8779371968097719,0.0711554858,0.07122821509760606,6.791747942424243e-05,0.0,6.137213068181819e-05,6.137213068181819e-05,1.5350909090909092e-05,,4.811818181818181e-06,4.811818181818181e-06,,0.0711554858,Yes,No,Yes,0.0,0.0,0.0,0.0,Head Node,[loop in write_values],0.0,5.045454545454546e-06,0.0,0.0,,,5.045454545454546e-06,5e-06,0.0,4.545454545454546e-08,0.0,,200x2400 (480000),480000,200x2400,1x32 (32),32,1x32,2,,32,,14336,448,7,1,1,93.3839342050552,6.616065794944803,0.0,98.47689075630252,4349952,4345856,4096,4345856,4341760,0,8192,,,,,,200.0,1.0,200.0,4322816.0,4322688.0,128.0,54.03369558934458,54.03209563389067,0.0015999554539069224,59437065148.279045,59435305197.27975,1759950.9992976147,0.2110691233958773,0.21106287356988546,6.2498259918239155e-06,1.5350454545454546e-05,4.5454545454545455e-10,4320598.0,4320598.0,0.0,54.005971361244846,54.005971361244846,0.0,59406568497.36934,59406568497.36934,0.0,0.4219216512597254,0.8438433025194508,0.0,6.137213068181819e-05,0.0,4320598.0,4320598.0,0.0,54.005971361244846,54.005971361244846,0.0,59406568497.36934,59406568497.36934,0.0,0.4219216512597254,0.8438433025194508,0.0,6.137213068181819e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,4.01e-07,4.008e-06,0.0,0.0,0.0,0.0,0,0,0,200,0,0,401,1,39.219930535425696,35.65448230493245,,,,,,,,,,,0,6.1976708333333335,0,0,0,0,0.25,0,0,0,0,0,0.24724583333333333,0,11.810277083333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,0.0,0,,21252205794.315254,1545658.0,,17967724741.110443,1306780.0,,Fallback implemented for dependent_iterations_distance; Calls from System Module are present,0.0711554858,,,,0.0711554858,0.0711554858,57.849923990600004
1013,302,605,1,0,8,,1000,[loop in write_values],[loop in write_values],boltzmann-optimized,,0.0711554858,0.0711554858,0.0711554858,0.12300013706424577,57.849923990600004,0.0711554858,0.0,0.0,0.0,Parallel: Explicit,,,X86,"Not profitable: Launch_Tax, Compute",,,,0.9842767534891115,"Launch_Tax, Compute",0.9842767534891115,,,,,,0.0711554858,,7.043279924242426e-05,0.0,6.137213068181819e-05,6.137213068181819e-05,1.5350909090909092e-05,,6.418181818181818e-05,6.418181818181818e-05,,0.0711554858,Yes,No,Yes,0.0,0.0,0.0,0.0,Child,[loop in write_values],0.0,0.0010020527272727273,0.0,0.0,,,0.0010020527272727273,0.001,0.0,2.0527272727272727e-06,0.0,,2400,2400,2400,8,8,8,1,,8,,2400,300,5,1,200,52.32180619765307,47.67819380234693,0.0,66.96428571428571,4349952,4345856,4096,4345856,4341760,0,8192,,,,,,300.0,200.0,60000.0,4322816.0,4322688.0,128.0,29.193209492901715,29.19234507239085,0.0008644205108640802,32112530442.191887,32111579579.629936,950862.5619504881,0.11403597458164733,0.11403259793902676,3.376642620562813e-06,1.5350454545454546e-05,4.5454545454545455e-10,4320598.0,4320598.0,0.0,29.1782307062369,29.1782307062369,0.0,32096053776.860588,32096053776.860588,0.0,0.22795492739247578,0.45590985478495155,0.0,6.137213068181819e-05,0.0,4320598.0,4320598.0,0.0,29.1782307062369,29.1782307062369,0.0,32096053776.860588,32096053776.860588,0.0,0.22795492739247578,0.45590985478495155,0.0,6.137213068181819e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.00124678,0.00184698,0.0308357,0.00432282,0.0043206,0.0,0.0,2554221,0,0,298017,0,0,4709133,1,21.188174468535443,19.261976789577673,,,,,,,,,,,0,5.1976708333333335,0,0,0,0,0.25,0,0,0,0,0,0.24724583333333333,0,8.810277083333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,0.0,0,,11480610572.39748,1545458.0,,9707563896.13796,1306780.0,,Calls from System Module are present,0.0711554858,,,,0.0711554858,0.0711554858,57.849923990600004
,303,302,1,0,,fprintf.c:26,,__fprintf,__fprintf at fprintf.c:26,libc.so.6,,0.0711554858,0.0711554858,0.0711554858,0.12300013706424577,57.849923990600004,0.0711554858,0.0711554858,0.0711554858,0.0711554858,,,,X86,Cannot be modelled: Not User Code,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,Child,[loop in write_values],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,60000.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0711554858,0.0711554858,57.849923990600004
